2021-08-29 20:11:25,228 epoch 43 done, accu_1 = 0.385526, accu_10 = 0.665453
2021-08-29 20:12:54,835 epoch 43 done, accu_1 = 0.433773, accu_10 = 0.645426
2021-08-29 20:14:02,301 epoch 44 done, accu_1 = 0.391215, accu_10 = 0.663860
2021-08-29 20:15:28,942 epoch 44 done, accu_1 = 0.452435, accu_10 = 0.657943
2021-08-29 20:16:36,523 epoch 45 done, accu_1 = 0.384160, accu_10 = 0.655212
2021-08-29 20:18:07,957 epoch 45 done, accu_1 = 0.440828, accu_10 = 0.646563
2021-08-29 20:19:13,805 epoch 46 done, accu_1 = 0.400091, accu_10 = 0.654756
2021-08-29 20:20:48,688 epoch 46 done, accu_1 = 0.453345, accu_10 = 0.650888
2021-08-29 20:21:50,671 epoch 47 done, accu_1 = 0.392808, accu_10 = 0.649294
2021-08-29 20:23:23,818 epoch 47 done, accu_1 = 0.448339, accu_10 = 0.652026
2021-08-29 20:24:23,757 epoch 48 done, accu_1 = 0.387802, accu_10 = 0.640874
2021-08-29 20:26:01,099 epoch 48 done, accu_1 = 0.453118, accu_10 = 0.656350
2021-08-29 20:27:02,660 epoch 49 done, accu_1 = 0.394629, accu_10 = 0.653163
2021-08-29 20:28:37,541 epoch 49 done, accu_1 = 0.444470, accu_10 = 0.656122
2021-08-30 19:49:38,351 epoch 1 done, accu_1 = 0.394401, accu_10 = 0.622440
2021-08-30 19:52:12,210 epoch 2 done, accu_1 = 0.437870, accu_10 = 0.662039
2021-08-30 19:54:51,973 epoch 3 done, accu_1 = 0.438553, accu_10 = 0.660674
2021-08-30 19:57:38,877 epoch 4 done, accu_1 = 0.427173, accu_10 = 0.647701
